Date,location,lender_type,buyer_type,buyer_subtype,measure_type,number,value
2019-06-01,ACT,all,investor,all,construction,0.0,0.0
2019-06-01,ACT,all,investor,all,ext_refi,0.0,52600000.0
2019-06-01,ACT,all,investor,all,int_refi,0.0,0.0
2019-06-01,ACT,all,investor,all,purchase_existing,0.0,0.0
2019-06-01,ACT,all,investor,all,purchase_land,0.0,0.0
2019-06-01,ACT,all,investor,all,purchase_new,0.0,0.0
2019-06-01,ACT,all,investor,all,renovations,0.0,0.0
2019-06-01,ACT,all,investor,all,total_exc_refi,0.0,94400000.0
2019-06-01,ACT,all,owner occupier,all,construction,49.0,21200000.0
2019-06-01,ACT,all,owner occupier,all,ext_refi,263.0,110400000.0
2019-06-01,ACT,all,owner occupier,all,int_refi,0.0,0.0
2019-06-01,ACT,all,owner occupier,all,purchase_existing,425.0,194300000.0
2019-06-01,ACT,all,owner occupier,all,purchase_land,0.0,0.0
2019-06-01,ACT,all,owner occupier,all,purchase_new,50.0,21800000.0
2019-06-01,ACT,all,owner occupier,all,renovations,0.0,4200000.0
2019-06-01,ACT,all,owner occupier,all,total_exc_refi,0.0,257700000.0
2019-06-01,ACT,all,owner occupier,first home buyer,total_exc_refi,127.0,48100000.0
2019-06-01,AUS,all,all,all,total_exc_refi,0.0,16412700000.0
2019-06-01,AUS,all,all,first home buyer,total_exc_refi,0.0,0.0
2019-06-01,AUS,all,investor,all,construction,0.0,0.0
2019-06-01,AUS,all,investor,all,ext_refi,0.0,3513900000.0
2019-06-01,AUS,all,investor,all,int_refi,0.0,0.0
2019-06-01,AUS,all,investor,all,purchase_existing,0.0,0.0
2019-06-01,AUS,all,investor,all,purchase_land,0.0,0.0
2019-06-01,AUS,all,investor,all,purchase_new,0.0,0.0
2019-06-01,AUS,all,investor,all,renovations,0.0,0.0
2019-06-01,AUS,all,investor,all,total_exc_refi,0.0,4843300000.0
2019-06-01,AUS,all,investor,first home buyer,total_exc_refi,0.0,0.0
2019-06-01,AUS,all,owner occupier,all,construction,3615.0,1492100000.0
2019-06-01,AUS,all,owner occupier,all,ext_refi,11665.0,4857200000.0
2019-06-01,AUS,all,owner occupier,all,int_refi,0.0,0.0
2019-06-01,AUS,all,owner occupier,all,purchase_existing,18527.0,8389200000.000001
2019-06-01,AUS,all,owner occupier,all,purchase_land,0.0,0.0
2019-06-01,AUS,all,owner occupier,all,purchase_new,1700.0,749300000.0
2019-06-01,AUS,all,owner occupier,all,renovations,0.0,200000000.0
2019-06-01,AUS,all,owner occupier,all,total_exc_refi,0.0,11569400000.0
2019-06-01,AUS,all,owner occupier,first home buyer,total_exc_refi,8100.0,3110500000.0
2019-06-01,AUS,major banks,all,all,total_exc_refi,0.0,0.0
2019-06-01,AUS,major banks,investor,all,total_exc_refi,0.0,0.0
2019-06-01,AUS,major banks,owner occupier,all,total_exc_refi,0.0,0.0
2019-06-01,AUS,non-adis,all,all,total_exc_refi,0.0,0.0
2019-06-01,AUS,non-adis,investor,all,total_exc_refi,0.0,0.0
2019-06-01,AUS,non-adis,owner occupier,all,total_exc_refi,0.0,0.0
2019-06-01,AUS,other adis,all,all,total_exc_refi,0.0,0.0
2019-06-01,AUS,other adis,investor,all,total_exc_refi,0.0,0.0
2019-06-01,AUS,other adis,owner occupier,all,total_exc_refi,0.0,0.0
2019-06-01,NSW,all,investor,all,construction,0.0,0.0
2019-06-01,NSW,all,investor,all,ext_refi,0.0,1538200000.0
2019-06-01,NSW,all,investor,all,int_refi,0.0,0.0
2019-06-01,NSW,all,investor,all,purchase_existing,0.0,0.0
2019-06-01,NSW,all,investor,all,purchase_land,0.0,0.0
2019-06-01,NSW,all,investor,all,purchase_new,0.0,0.0
2019-06-01,NSW,all,investor,all,renovations,0.0,0.0
2019-06-01,NSW,all,investor,all,total_exc_refi,0.0,2115699999.9999998
2019-06-01,NSW,all,owner occupier,all,construction,678.0,300400000.0
2019-06-01,NSW,all,owner occupier,all,ext_refi,3375.0,1685600000.0
2019-06-01,NSW,all,owner occupier,all,int_refi,0.0,0.0
2019-06-01,NSW,all,owner occupier,all,purchase_existing,5113.0,2855900000.0
2019-06-01,NSW,all,owner occupier,all,purchase_land,0.0,0.0
2019-06-01,NSW,all,owner occupier,all,purchase_new,560.0,277700000.0
2019-06-01,NSW,all,owner occupier,all,renovations,0.0,72900000.0
2019-06-01,NSW,all,owner occupier,all,total_exc_refi,0.0,3672600000.0
2019-06-01,NSW,all,owner occupier,first home buyer,total_exc_refi,1870.0,851100000.0
2019-06-01,NT,all,investor,all,construction,0.0,0.0
2019-06-01,NT,all,investor,all,ext_refi,0.0,13600000.0
2019-06-01,NT,all,investor,all,int_refi,0.0,0.0
2019-06-01,NT,all,investor,all,purchase_existing,0.0,0.0
2019-06-01,NT,all,investor,all,purchase_land,0.0,0.0
2019-06-01,NT,all,investor,all,purchase_new,0.0,0.0
2019-06-01,NT,all,investor,all,renovations,0.0,0.0
2019-06-01,NT,all,investor,all,total_exc_refi,0.0,9500000.0
2019-06-01,NT,all,owner occupier,all,construction,29.0,12500000.0
2019-06-01,NT,all,owner occupier,all,ext_refi,26.0,9300000.0
2019-06-01,NT,all,owner occupier,all,int_refi,0.0,0.0
2019-06-01,NT,all,owner occupier,all,purchase_existing,127.0,44900000.0
2019-06-01,NT,all,owner occupier,all,purchase_land,0.0,0.0
2019-06-01,NT,all,owner occupier,all,purchase_new,6.0,3000000.0
2019-06-01,NT,all,owner occupier,all,renovations,0.0,400000.0
2019-06-01,NT,all,owner occupier,all,total_exc_refi,0.0,62100000.0
2019-06-01,NT,all,owner occupier,first home buyer,total_exc_refi,71.0,22300000.0
2019-06-01,QLD,all,investor,all,construction,0.0,0.0
2019-06-01,QLD,all,investor,all,ext_refi,0.0,529900000.0
2019-06-01,QLD,all,investor,all,int_refi,0.0,0.0
2019-06-01,QLD,all,investor,all,purchase_existing,0.0,0.0
2019-06-01,QLD,all,investor,all,purchase_land,0.0,0.0
2019-06-01,QLD,all,investor,all,purchase_new,0.0,0.0
2019-06-01,QLD,all,investor,all,renovations,0.0,0.0
2019-06-01,QLD,all,investor,all,total_exc_refi,0.0,683900000.0
2019-06-01,QLD,all,owner occupier,all,construction,615.0,261300000.0
2019-06-01,QLD,all,owner occupier,all,ext_refi,1794.0,652800000.0
2019-06-01,QLD,all,owner occupier,all,int_refi,0.0,0.0
2019-06-01,QLD,all,owner occupier,all,purchase_existing,3956.0,1568300000.0
2019-06-01,QLD,all,owner occupier,all,purchase_land,0.0,0.0
2019-06-01,QLD,all,owner occupier,all,purchase_new,213.0,91300000.0
2019-06-01,QLD,all,owner occupier,all,renovations,0.0,32700000.000000004
2019-06-01,QLD,all,owner occupier,all,total_exc_refi,0.0,2066500000.0
2019-06-01,QLD,all,owner occupier,first home buyer,total_exc_refi,1503.0,525400000.0
2019-06-01,SA,all,investor,all,construction,0.0,0.0
2019-06-01,SA,all,investor,all,ext_refi,0.0,124400000.0
2019-06-01,SA,all,investor,all,int_refi,0.0,0.0
2019-06-01,SA,all,investor,all,purchase_existing,0.0,0.0
2019-06-01,SA,all,investor,all,purchase_land,0.0,0.0
2019-06-01,SA,all,investor,all,purchase_new,0.0,0.0
2019-06-01,SA,all,investor,all,renovations,0.0,0.0
2019-06-01,SA,all,investor,all,total_exc_refi,0.0,242400000.0
2019-06-01,SA,all,owner occupier,all,construction,308.0,110000000.0
2019-06-01,SA,all,owner occupier,all,ext_refi,944.0,302700000.0
2019-06-01,SA,all,owner occupier,all,int_refi,0.0,0.0
2019-06-01,SA,all,owner occupier,all,purchase_existing,1482.0,512799999.99999994
2019-06-01,SA,all,owner occupier,all,purchase_land,0.0,0.0
2019-06-01,SA,all,owner occupier,all,purchase_new,122.0,40000000.0
2019-06-01,SA,all,owner occupier,all,renovations,0.0,16100000.000000002
